부처명,번호,사업명,페이지_시작,페이지_끝,총괄표_찾음,총괄표_라인번호,has_추경,has_요구,서브앵커_라인,수집라인,추출숫자,숫자개수,매핑방법,budget_2024,budget_2025,budget_2025_sup,budget_2026_req,budget_2026,change_amount,change_rate,총괄표_원문,fallback_표구조
감사원,1,전산운영경비(정보화),20,29,True,83,True,True,85.0,"(정보화) | 12,508 | 16,111 | 16,111 | 14,762 | 10,300 | △5,811 | △36.1","12,508 | 16,111 | 16,111 | 14,762 | 10,300 | △5,811 | △36.1",7,7열(1차(break)),12508.0,16111.0,16111.0,14762.0,10300.0,-5811.0,-36.1,"- 20 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년
증감
(B-A)
본예산
추경(A)
요구안
본예산(B)
(B-A)/A
전산운영경비
(정보화)
12,508
16,111
16,111
14,762
10,300
△5,811
△36.1
□기능별(내역사업별) 예산 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적·내용
○각종 전산시스템을 구축·개선하여 방대한 감사자료 등 데이터를 보다 효율적으로 
관리하고, 자체감사기구와의 감사 관련 지식 등 공유를 도모하며 각종 사이버위협에 
효과적으로 대응
▪(감사자료분석시스템 구축·운영) 전산화된 감사자료를 수집ㆍ분석ㆍ활용하고, 데이터
기반의 체계적ㆍ과학적 감사를 지원하여 감사 효율성 및 성과 제고를 위해 구축한 감사
2024
2025
2026
예산
예산액
(추경)
예산
현액",
개인정보보호위원회,2,개인정보 안전활용 선도기술 개발(R&D),30,36,True,83,True,True,85.0,"선도기술 개발(R&D) | - | - | - | 6,138 | 6,138 | 6,138 | 순증","DASH | DASH | DASH | 6,138 | 6,138 | 6,138 | 순증",7,7열(1차(break)),,,,6138.0,6138.0,6138.0,,"- 30 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경(A)
요구안
본예산(B)
(B-A)/A
개인정보 안전활용 
선도기술 개발(R&D)
-
-
-
6,138
6,138
6,138
순증
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
[실집
행액]
이월액불용액본예산
예산
현액
집행액",
개인정보보호위원회,3,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D),37,44,True,74,True,True,76.0,"개인정보 보호·활용 | 기술개발(R&D) | - | 1,500 | 1,500 | 2,660 | 2,660 | 1,160 | 77.3","DASH | 1,500 | 1,500 | 2,660 | 2,660 | 1,160 | 77.3",7,7열(1차(break)),,1500.0,1500.0,2660.0,2660.0,1160.0,77.3,"- 37 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경(A)
요구안
본예산(B)
(B-A)/A
신뢰기반의 AI
개인정보 보호·활용 
기술개발(R&D)
-
1,500
1,500
2,660
2,660
1,160
77.3
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
[실집
행액]
이월액불용액본예산
예산
현액",
개인정보보호위원회,4,안전한 데이터 활용 지원,45,57,True,81,True,True,83.0,"활용 지원 | 3,328 | 3,564 | 3,564 | 6,456 | 6,456 | 2,892 | 81.1","3,328 | 3,564 | 3,564 | 6,456 | 6,456 | 2,892 | 81.1",7,7열(1차(break)),3328.0,3564.0,3564.0,6456.0,6456.0,2892.0,81.1,"- 45 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년 예산
증감
(B-A)
본예산
추경(A)
요구안
본예산(B)
(B-A)/A
안전한 데이터 
활용 지원
3,328
3,564
3,564
6,456
6,456
2,892
81.1
□기능별(내역사업별) 예산 내역
(단위: 백만원)
2024
2025
2026
예산
예산액
(추경)
예산
현액
집행액
[실집
행액]
이월액불용액본예산
예산
현액
집행액",
경찰청,5,112시스템운영(정보화),58,63,True,57,True,True,59.0,"(정보화) | 19,471 | 16,186 | 16,186 | 20,916 | 21,372 | 5,186 | 32.0","19,471 | 16,186 | 16,186 | 20,916 | 21,372 | 5,186 | 32.0",7,7열(1차(break)),19471.0,16186.0,16186.0,20916.0,21372.0,5186.0,32.0,"사업시행주체
치안상황과
가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년
증감
(B-A)
본예산(A)
추경
요구
조정(B)
(B-A)/A
112시스템운영
(정보화)
19,471
16,186
16,186
20,916
21,372
5,186
32.0
- 58 -

□내역사업별 예산 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적･내용
112시스템운영
- (112시스템유지관리) 112시스템은 24시간 365일 구동되는 경찰 주요 시스템으로 안정적인 
무중단 서비스 제공을 위한 시스템 유지보수 및 장애 발생 시, 신속한 복구를 위한 체계적 
대응 필수
- (112시스템 개선) 112신고 접수･지령을 위해 사용중인 112워크스테이션이 내용연수가 
경과 함에 따라 안정적인 시스템 운영을 위해 장비교체 및 요구조자의 신속한 위치 
파악을 위한 정밀탐색시스템 도입
- (순찰차캠 영상관제 시스템 구축) 실시간 장애대응을 위해 24시간 콜센터 운영, 단말기･
거치대･케이블 등에 장애시 신속한 출장 수리 및 복구 등 유지보수
- (112지원시스템) 최신 IT 환경변화에 맞춘 효율적인 지역경찰 업무지원을 위해 ‘AI 기반 
과학적 예방 활동’ 지원 체계 마련, ‘모바일 앱’ 구축, 노후 시스템 개선 등을 통한 지역",
경찰청,6,경찰정보화기반고도화(정보화),64,71,True,62,True,True,64.0,"(정보화) | 62,509 | 77,006 | 77,006 | 78,334 | 78,334 | 1,328 | 1.7","62,509 | 77,006 | 77,006 | 78,334 | 78,334 | 1,328 | 1.7",7,7열(1차(break)),62509.0,77006.0,77006.0,78334.0,78334.0,1328.0,1.7,"- 64 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년
증감
(B-A)
본예산(A)
추경
요구
조정(B)
(B-A)/A
경찰정보화기반고도화
(정보화)
62,509
77,006
77,006
78,334
78,334
1,328
1.7
□내역사업별 예산 내역
(단위: 백만원)
2024
2025(’25. 11월말)
2026
예산
예산액
(추경)
예산
현액
집행액
[실집행액] 이월액불용액
예산액
예산
현액
집행액
[실집행액]",
경찰청,7,과학기술 기반 군중밀집 관리 기술 개발(R&D),72,77,True,60,False,True,62.0,"밀집관리기술개발 | (R&D) | 1,092 | 1,976 | 1,976 | 1,976 | - | -","1,092 | 1,976 | 1,976 | 1,976 | DASH | DASH",6,6열B-요구(1차(break)),1092.0,1976.0,,1976.0,1976.0,,,"- 72 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
본예산(A)
2026년
증감
(B-A)
요구
조정(B)
(B-A)/A
과학기술기반군중
밀집관리기술개발
(R&D)
1,092
1,976
1,976
1,976
-
-
□내역사업별 예산 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적･내용
- (①내역: 과학기술 기반 군중밀집 관리 기술 개발) 군중 분석 및 관리 기술 개발을 통해 
밀집도를 계산･예측하고 이를 기반으로 현장 상황 분석과 경찰력 지원까지 연계 가능
한 종합솔루션 개발 
- (②내역: 기획평가관리비) 원활한 사업 추진을 위한 기획, 평가, 관리 등 소요 비용
2) 사업개요
□사업근거 및 추진경위
①법령상 근거 및 조항 적시
- 국가경찰과 자치경찰의 조직 및 운영에 관한 법률 제33조(치안에 필요한 연구개발의 지원 등)
- 재난 및 안전관리 기본법 제71조(재난 및 안전관리에 필요한 과학기술의 진흥 등)
2024
2025(’25.11월말)
2026
예산
예산액",
경찰청,8,과학수사시스템구축(정보화),78,83,True,61,True,True,63.0,"10,353 | 7,990 | 7,990 | 4,126 | 4,126 | ▵3,864 | ▵48.4","10,353 | 7,990 | 7,990 | 4,126 | 4,126 | 3,864 | 48.4",7,7열(1차(break)),10353.0,7990.0,7990.0,4126.0,4126.0,3864.0,48.4,"- 78 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
2026년
증감
(B-A)
본예산(A)
추경
요구
조정(B)
(B-A)/A
과학수사시스템구축
10,353
7,990
7,990
4,126
4,126
▵3,864
▵48.4
□내역사업별 예산 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적･내용
- 지능화･다변화된 범죄에 효과적으로 대응하기 위하여 다양한 수사자료 관리･분석 시스템 
운영을 통해 일선 수사경찰의 신속･정확한 현장 수사 지원
- IT･BT 기반의 지능형 과학수사 시스템 구축 및 고도화를 통해 신원확인 정보 관리 및 
효과적인 범인 검거 등 과학수사 지원 능력 강화 필요
- (지문 및 전과기록 관리시스템 재구축) 기초적인 수사 및 신원･범죄경력 확인의 근간이 
되는 ｢지문 및 전과기록 관리시스템｣을 관련 업무와 함께 통합･재편하여 인프라 노후
화로 인한 위협 요소를 제거하는 한편, 자료 정확성 및 시스템 효율성 제고
- (전산장비운영지원) 일선 수사부서에서 전자수사자료표 작성 시 지문 채취에 필요한십지 
라이브스캐너의 노후 교체 및 신설 수사부서 보급을 통한 수사 효율성 제고
- (현장증거물 수집 자동화시스템 구축) 대형재난･안전사고에서 사고 원인 규명 및 희생자 
신원확인을 위한 증거물 수집･분류･입력 등을 자동화한 시스템 구축을 통해재난･사고 
2024
2025(2025.11월말)
2026",
경찰청,9,과학적 범죄수사 고도화 기술 개발(R&D),84,92,True,61,False,True,63.0,"고도화기술개발 | (R&D) | 7,476 | 4,529 | 3,068 | 3,068 | △1,461 | △32.3","7,476 | 4,529 | 3,068 | 3,068 | △1,461 | △32.3",6,6열B-요구(1차(break)),7476.0,4529.0,,3068.0,3068.0,-1461.0,-32.3,"- 84 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
본예산(A)
2026년
증감
(B-A)
요구
조정(B)
(B-A)/A
과학적범죄수사
고도화기술개발
(R&D)
7,476
4,529
3,068
3,068
△1,461
△32.3
□내역사업별 예산 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적･내용
- (과학적범죄수사고도화기술개발) 과학기술을 활용한 경찰의 과학수사 기법 개발로 (과학)
수사 역량 강화로 용의자 조기 검거 기여 등 신속한 초기 수사 대응 지원
- (①내역: 법곤충 감정기법 데이터 구축) 시식성 파리 등 10종에 대한 법곤충 감정기법 데이터 
구축을 위한 연구를 통해 사후 경과시간 추정 등 과학수사 현장에 활용
- (②내역: 인공지능 기반 위해기체 고속 분석 플랫폼 구축) 기존의 기체 분자 분석 기법 적용 
2024
2025(’25.11월말)
2026
예산
예산액
(추경)
예산
현액
집행액",
경찰청,10,불법 마약류 대응을 위한 현장기술 개발(R&D),93,102,True,60,False,True,62.0,"위한현장기술개발 | (R&D) | 500 | 1,500 | 4,932 | 4,932 | 3,432 | 222.8","500 | 1,500 | 4,932 | 4,932 | 3,432 | 222.8",6,6열B-요구(1차(break)),500.0,1500.0,,4932.0,4932.0,3432.0,222.8,"- 93 -

가. 예산 총괄표
(단위: 백만원, %)
사업명
2024년
결산
2025년 예산
본예산(A)
2026년
증감
(B-A)
요구
조정(B)
(B-A)/A
불법마약류대응을
위한현장기술개발
(R&D)
500
1,500
4,932
4,932
3,432
222.8
□내역사업별 예산 내역
(단위: 백만원)
나. 사업설명자료
1) 사업목적･내용
- (불법마약류대응을위한현장기술개발) 불법마약류 대응을 위해 첨단 과학기술을 접목하여 
치안･관세 현장에서 활용 가능한 불법 마약류 탐지･검사 기술 고도화 방안 마련
- (①내역: 불법마약류대응을위한현장기술개발) 치안･관세 현장에서 실제 활용가능한 
불법마약류 탐지 라만분광시스템 및 간질액 기반 간이검사 마이크로니들패치 개발
2024
2025(’25.11월말)
2026
예산
예산액
(추경)
예산
현액
집행액
[실집행액] 이월액불용액본예산",
