번호,부처명,사업명,파일명,원본_시작페이지,원본_끝페이지,페이지수
1,감사원,전산운영경비(정보화),감사원.pdf,20,29,10
2,개인정보보호위원회,개인정보 안전활용 선도기술 개발(R&D),개인정보보호위원회.pdf,30,36,7
3,개인정보보호위원회,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D),개인정보보호위원회.pdf,37,44,8
4,개인정보보호위원회,안전한 데이터 활용 지원,개인정보보호위원회.pdf,45,57,13
5,경찰청,112시스템운영(정보화),경찰청.pdf,58,63,6
6,경찰청,경찰정보화기반고도화(정보화),경찰청.pdf,64,71,8
7,경찰청,과학기술 기반 군중밀집 관리 기술 개발(R&D),경찰청.pdf,72,77,6
8,경찰청,과학수사시스템구축(정보화),경찰청.pdf,78,83,6
9,경찰청,과학적 범죄수사 고도화 기술 개발(R&D),경찰청.pdf,84,92,9
10,경찰청,불법 마약류 대응을 위한 현장기술 개발(R&D),경찰청.pdf,93,102,10
11,경찰청,사이버범죄수사단서통합분석및추론시스템개발(R&D),경찰청.pdf,103,108,6
12,경찰청,사이버수사 지원기술 개발(R&D),경찰청.pdf,109,116,8
13,경찰청,차세대지능형순찰플랫폼개발(R&D),경찰청.pdf,117,123,7
14,경찰청,치안데이터활용기술개발(R&D),경찰청.pdf,124,130,7
15,경찰청,형사·교통여성·청소년범죄수사역량강화,경찰청.pdf,131,140,10
16,고용노동부,고용노동행정(정보화),고용노동부.pdf,141,151,11
17,고용노동부,내일배움카드(고보),고용노동부.pdf,152,160,9
18,고용노동부,내일배움카드(일반),고용노동부.pdf,161,170,10
19,고용노동부,노동위원회정보화운영(정보화),고용노동부.pdf,171,176,6
20,고용노동부,디지털 기반의 고용서비스 인프라 지원(정보화),고용노동부.pdf,177,188,12
21,고용노동부,미래환경변화 대응 산업안전보건 연구개발(R&D),고용노동부.pdf,189,194,6
22,고용노동부,사업주직업훈련지원금,고용노동부.pdf,195,203,9
23,고용노동부,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),고용노동부.pdf,204,220,17
24,고용노동부,직업능력개발담당자양성 및 훈련매체개발,고용노동부.pdf,221,232,12
25,고용노동부,직업능력개발심사평가,고용노동부.pdf,233,245,13
26,고용노동부,취약노동자지원,고용노동부.pdf,246,258,13
27,과학기술정보통신부,4대지역외 AX 대전환 기획,과학기술정보통신부.pdf,259,264,6
28,과학기술정보통신부,AGI 준비 프로젝트,과학기술정보통신부.pdf,265,271,7
29,과학기술정보통신부,AI AGENT 선도 국가 사업,과학기술정보통신부.pdf,272,278,7
30,과학기술정보통신부,AI 공간 컴퓨팅 창업 생태계 활성화,과학기술정보통신부.pdf,279,286,8
